     3.500     4.000     4.250     4.750     3.750     2.500     2.000     1.250     1.000     0.000     0.000     0.005     0.995     4.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.999     0.000     0.001     2.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.999     0.000     0.001     2.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.999     0.000     0.001     2.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.999     0.000     0.001     2.000
     4.250     4.750     3.750     3.750     2.250     2.750     3.000     2.500     1.000     0.000     0.005     0.005     0.990     4.000
     4.500     4.000     4.500     3.750     1.000     1.000     1.000     1.500     1.000     0.000     0.000     1.000     0.000     3.000
     4.500     4.000     4.500     3.750     1.000     1.000     1.000     1.500     1.000     0.000     0.000     1.000     0.000     3.000
     5.000     4.000     4.750     2.750     1.750     2.750     1.750     4.000     1.750     0.000     0.015     0.014     0.971     4.000
     5.000     4.000     4.750     2.750     1.750     2.750     1.750     4.000     1.750     0.000     0.015     0.014     0.971     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     4.000     4.000     3.500     4.250     2.000     2.500     2.250     2.500     2.750     0.001     0.001     0.007     0.991     4.000
     4.000     4.000     3.500     4.250     2.000     2.500     2.250     2.500     2.750     0.001     0.001     0.007     0.991     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.001     0.030     0.969     4.000
     3.750     4.000     3.500     3.250     1.000     1.000     1.500     2.500     1.000     0.000     0.000     1.000     0.000     3.000
     3.750     4.000     3.500     3.250     1.000     1.000     1.500     2.500     1.000     0.000     0.000     1.000     0.000     3.000
     3.750     4.000     3.500     3.250     1.000     1.000     1.500     2.500     1.000     0.000     0.000     1.000     0.000     3.000
     3.500     3.750     4.000     3.500     1.500     1.250     1.250     1.750     1.750     0.000     0.000     0.999     0.001     3.000
     3.500     3.750     4.000     3.500     1.500     1.250     1.250     1.750     1.750     0.000     0.000     0.999     0.001     3.000
     3.500     3.750     4.000     3.500     1.500     1.250     1.250     1.750     1.750     0.000     0.000     0.999     0.001     3.000
     3.750     3.000     4.500     5.000     1.250     1.000     2.000     3.250     1.000     0.000     0.000     0.997     0.003     3.000
     3.750     3.000     4.500     5.000     1.250     1.000     2.000     3.250     1.000     0.000     0.000     0.997     0.003     3.000
