1	3.75	1	2.75	4.75	3.75	3	2.25	2.5	4.25	1	1	1.66666666666667	4	4	4.11111111111111	1	1	1.28571428571429	2.33333333333333	3	2.88888888888889	2.5	5.66666666666667	17	100	873	4	5	5	4	5	2	3	4	4	8	2	48	5	1	1	1	2	4	4	3	100	7148	2	58	4	10	2	1	5	0	4	3
1	4.5	1	1	4	3.75	1	1	1.5	4.5	1	1.66666666666667	1.5	4	4	3.77777777777778	1.33333333333333	1.71428571428571	1.85714285714286	2.33333333333333	3.33333333333333	3.11111111111111	2	6.33333333333333	18	100	1266	4	4	4	4	4	2	3	5	4	9	2	27	6	2	2	2	5	4	4	5	100	8063	2	35	4	10	2	5	3	0	5	5
1	4.5	1	1	4	3.75	1	1	1.5	4.5	1	2	2	3.5	4	3.77777777777778	1.11111111111111	1	1.42857142857143	1	3.66666666666667	2.66666666666667	1	6.33333333333333	19	100	4999	5	5	5	5	5	1	1	4	4	9	1	50	4	1	1	1	2	3	3	5	100	8063	2	35	4	10	2	5	3	0	5	5
1.75	4.75	1	2.75	4	2.75	1.75	1.75	4	5	1	2	1.83333333333333	3.5	4	3.11111111111111	2.22222222222222	1	3.42857142857143	2.44444444444444	3	3	.	4.66666666666667	20	100	2194	5	4	4	4	5	2	3	3	4	7	1	21	4	2	2	1	4	4	4	6	100	5874	1	32	4	8	8	4	7	0	4	4
1.75	4.75	1	2.75	4	2.75	1.75	1.75	4	5	5.85714285714286	1.66666666666667	3.83333333333333	3.5	4.66666666666667	3.55555555555556	3.88888888888889	1	3.14285714285714	4.88888888888889	4.66666666666667	5	5	4	21	100	736	1	1	1	1	1	2	1	4	5	10	1	23	4	3	3	3	2	4	4	6	100	5874	1	32	4	8	8	4	7	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	1.85714285714286	2.66666666666667	2.16666666666667	3.5	3.66666666666667	3.55555555555556	2.22222222222222	1.85714285714286	2.14285714285714	2	3.66666666666667	3	2.5	4.33333333333333	22	100	620	4	4	5	4	4	2	2	3	3	7	2	26	4	3	2	1	5	4	4	7	100	3156	2	42	4	6	2	6	5	1	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	2.66666666666667	2	3.5	4	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	4.66666666666667	23	100	2916	4	4	4	3	4	2	2	4	3	7	1	24	4	1	1	1	5	4	4	7	100	3156	2	42	4	6	2	6	5	1	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	1.71428571428571	2.66666666666667	2	3	3.66666666666667	3.66666666666667	2.22222222222222	2	1.85714285714286	2	3.66666666666667	3.11111111111111	2.5	4.66666666666667	24	100	890	4	4	4	3	4	2	2	3	3	7	2	25	4	2	2	2	5	4	4	7	100	3156	2	42	4	6	2	6	5	1	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	2.66666666666667	2	3.5	3.66666666666667	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	5	25	100	522	4	4	4	3	4	2	2	4	4	6	2	24	4	2	2	2	5	3	4	8	100	465	2	35	4	6	4	3	3	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	2.66666666666667	2	3.5	4	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	5	26	100	400	4	4	4	3	4	2	2	3	3	7	2	25	4	1	1	1	5	4	4	8	100	465	2	35	4	6	4	3	3	0	4	4
