     3.250     3.000     4.000     3.750     2.250     2.750     2.250     2.750     2.000     0.033     0.966     0.000     2.000
     3.250     3.000     4.000     3.750     2.250     2.750     2.250     2.750     2.000     0.033     0.966     0.000     2.000
     3.250     3.000     4.000     3.750     2.250     2.750     2.250     2.750     2.000     0.033     0.966     0.000     2.000
     3.250     3.500     3.750     2.750     1.250     1.750     2.250     3.000     2.500     0.900     0.100     0.000     1.000
     3.250     3.500     3.750     2.750     1.250     1.750     2.250     3.000     2.500     0.900     0.100     0.000     1.000
     4.250     3.500     3.750     3.250     3.750     3.500     3.250     3.500     2.250     0.000     0.031     0.969     3.000
     4.250     3.500     3.750     3.250     3.750     3.500     3.250     3.500     2.250     0.000     0.031     0.969     3.000
     4.250     3.500     3.750     3.250     3.750     3.500     3.250     3.500     2.250     0.000     0.031     0.969     3.000
     4.000     4.000     3.000     3.000     3.250     3.000     3.000     2.750     3.000     0.000     0.065     0.935     3.000
     4.000     4.000     3.000     3.000     3.250     3.000     3.000     2.750     3.000     0.000     0.065     0.935     3.000
     3.750     3.750     4.500     2.250     3.750     1.500     3.000     1.250     1.000     0.455     0.545     0.000     2.000
     3.750     3.750     4.500     2.250     3.750     1.500     3.000     1.250     1.000     0.455     0.545     0.000     2.000
     3.750     3.750     4.500     2.250     3.750     1.500     3.000     1.250     1.000     0.455     0.545     0.000     2.000
     4.750     4.250     3.500     2.500     1.250     1.500     1.750     3.750     1.000     0.958     0.042     0.000     1.000
     4.750     4.250     3.500     2.500     1.250     1.500     1.750     3.750     1.000     0.958     0.042     0.000     1.000
     4.000     3.000     3.750     3.250     1.750     2.750     1.750     2.000     1.000     0.676     0.324     0.000     1.000
     4.000     3.000     3.750     3.250     1.750     2.750     1.750     2.000     1.000     0.676     0.324     0.000     1.000
     4.000     3.000     3.750     3.250     1.750     2.750     1.750     2.000     1.000     0.676     0.324     0.000     1.000
     4.000     3.000     3.750     3.250     1.750     2.750     1.750     2.000     1.000     0.676     0.324     0.000     1.000
     4.000     3.000     3.750     3.250     1.750     2.750     1.750     2.000     1.000     0.676     0.324     0.000     1.000
     4.250     4.500     4.250     4.750     2.250     2.000     2.750     2.750     1.250     0.030     0.970     0.000     2.000
     4.250     4.500     4.250     4.750     2.250     2.000     2.750     2.750     1.250     0.030     0.970     0.000     2.000
     4.250     4.500     4.250     4.750     2.250     2.000     2.750     2.750     1.250     0.030     0.970     0.000     2.000
     4.250     4.500     4.250     4.750     2.250     2.000     2.750     2.750     1.250     0.030     0.970     0.000     2.000
     4.250     4.500     4.250     4.750     2.250     2.000     2.750     2.750     1.250     0.030     0.970     0.000     2.000
     4.250     4.500     4.250     4.750     2.250     2.000     2.750     2.750     1.250     0.030     0.970     0.000     2.000
     4.250     4.500     4.250     4.750     2.250     2.000     2.750     2.750     1.250     0.030     0.970     0.000     2.000
     4.500     3.500     4.750     3.000     1.000     1.000     1.000     3.500     1.000     0.999     0.001     0.000     1.000
     4.500     3.500     4.750     3.000     1.000     1.000     1.000     3.500     1.000     0.999     0.001     0.000     1.000
     4.500     3.500     4.750     3.000     1.000     1.000     1.000     3.500     1.000     0.999     0.001     0.000     1.000
     4.000     3.500     3.250     3.000     1.250     3.000     2.000     3.750     1.750     0.083     0.917     0.000     2.000
     4.000     3.500     3.250     3.000     1.250     3.000     2.000     3.750     1.750     0.083     0.917     0.000     2.000
     4.000     3.500     3.250     3.000     1.250     3.000     2.000     3.750     1.750     0.083     0.917     0.000     2.000
     4.000     3.500     3.250     3.000     1.250     3.000     2.000     3.750     1.750     0.083     0.917     0.000     2.000
     4.000     3.500     3.250     3.000     1.250     3.000     2.000     3.750     1.750     0.083     0.917     0.000     2.000
     3.250     3.250     4.000     3.250     1.750     1.250     1.250     2.250     1.500     0.996     0.004     0.000     1.000
     3.250     3.250     4.000     3.250     1.750     1.250     1.250     2.250     1.500     0.996     0.004     0.000     1.000
     3.250     3.250     4.000     3.250     1.750     1.250     1.250     2.250     1.500     0.996     0.004     0.000     1.000
     3.000     3.750     3.750     3.250     1.500     1.250     2.500     2.250     1.250     0.993     0.007     0.000     1.000
     3.000     3.750     3.750     3.250     1.500     1.250     2.500     2.250     1.250     0.993     0.007     0.000     1.000
     3.000     3.750     3.750     3.250     1.500     1.250     2.500     2.250     1.250     0.993     0.007     0.000     1.000
     3.000     3.750     3.750     3.250     1.500     1.250     2.500     2.250     1.250     0.993     0.007     0.000     1.000
     3.000     3.750     3.750     3.250     1.500     1.250     2.500     2.250     1.250     0.993     0.007     0.000     1.000
     3.000     3.750     3.750     3.250     1.500     1.250     2.500     2.250     1.250     0.993     0.007     0.000     1.000
     3.000     3.750     3.750     3.250     1.500     1.250     2.500     2.250     1.250     0.993     0.007     0.000     1.000
