     3.500     4.000     4.250     4.750     3.750     2.500     2.000     1.250     1.000     0.000     0.002     0.000     0.998     0.000     0.000     4.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.000     0.000     0.000     1.000     0.000     5.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.000     0.000     0.000     1.000     0.000     5.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.000     0.000     0.000     1.000     0.000     5.000
     5.000     4.750     4.750     3.500     4.000     1.500     3.750     4.500     1.750     0.000     0.000     0.000     0.000     1.000     0.000     5.000
     4.250     4.750     3.750     3.750     2.250     2.750     3.000     2.500     1.000     0.000     0.005     0.000     0.993     0.002     0.000     4.000
     4.500     4.000     4.500     3.750     1.000     1.000     1.000     1.500     1.000     0.001     0.999     0.000     0.000     0.000     0.000     2.000
     4.500     4.000     4.500     3.750     1.000     1.000     1.000     1.500     1.000     0.001     0.999     0.000     0.000     0.000     0.000     2.000
     5.000     4.000     4.750     2.750     1.750     2.750     1.750     4.000     1.750     0.000     0.028     0.004     0.958     0.010     0.000     4.000
     5.000     4.000     4.750     2.750     1.750     2.750     1.750     4.000     1.750     0.000     0.028     0.004     0.958     0.010     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     4.000     4.000     3.500     4.250     2.000     2.500     2.250     2.500     2.750     0.000     0.011     0.009     0.979     0.000     0.001     4.000
     4.000     4.000     3.500     4.250     2.000     2.500     2.250     2.500     2.750     0.000     0.011     0.009     0.979     0.000     0.001     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     4.250     4.000     2.000     2.500     2.250     2.500     2.000     0.000     0.029     0.001     0.970     0.000     0.000     4.000
     3.750     4.000     3.500     3.250     1.000     1.000     1.500     2.500     1.000     0.017     0.983     0.000     0.000     0.000     0.000     2.000
     3.750     4.000     3.500     3.250     1.000     1.000     1.500     2.500     1.000     0.017     0.983     0.000     0.000     0.000     0.000     2.000
     3.750     4.000     3.500     3.250     1.000     1.000     1.500     2.500     1.000     0.017     0.983     0.000     0.000     0.000     0.000     2.000
     3.500     3.750     4.000     3.500     1.500     1.250     1.250     1.750     1.750     0.030     0.969     0.000     0.001     0.000     0.000     2.000
     3.500     3.750     4.000     3.500     1.500     1.250     1.250     1.750     1.750     0.030     0.969     0.000     0.001     0.000     0.000     2.000
     3.500     3.750     4.000     3.500     1.500     1.250     1.250     1.750     1.750     0.030     0.969     0.000     0.001     0.000     0.000     2.000
     3.750     3.000     4.500     5.000     1.250     1.000     2.000     3.250     1.000     0.003     0.994     0.000     0.003     0.000     0.000     2.000
     3.750     3.000     4.500     5.000     1.250     1.000     2.000     3.250     1.000     0.003     0.994     0.000     0.003     0.000     0.000     2.000
     3.750     3.000     4.500     5.000     1.250     1.000     2.000     3.250     1.000     0.003     0.994     0.000     0.003     0.000     0.000     2.000
     4.250     4.750     5.000     4.750     1.500     2.750     2.750     2.750     2.000     0.000     0.003     0.000     0.882     0.115     0.000     4.000
     3.750     3.750     4.000     3.750     4.000     3.750     3.750     4.500     2.500     0.000     0.000     0.000     0.000     0.000     1.000     6.000
     3.750     3.750     4.000     3.750     4.000     3.750     3.750     4.500     2.500     0.000     0.000     0.000     0.000     0.000     1.000     6.000
     3.250     4.000     4.250     3.250     2.250     1.500     2.250     3.250     1.250     0.003     0.916     0.001     0.080     0.000     0.000     2.000
     3.250     4.000     4.250     3.250     2.250     1.500     2.250     3.250     1.250     0.003     0.916     0.001     0.080     0.000     0.000     2.000
     3.250     4.000     4.250     3.250     2.250     1.500     2.250     3.250     1.250     0.003     0.916     0.001     0.080     0.000     0.000     2.000
     3.000     2.500     2.250     1.250     1.000     1.000     1.000     1.250     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000
     3.000     2.500     2.250     1.250     1.000     1.000     1.000     1.250     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000
     3.000     2.500     2.250     1.250     1.000     1.000     1.000     1.250     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000
     4.000     3.750     3.500     4.000     1.250     1.250     1.000     2.000     1.000     0.011     0.989     0.000     0.001     0.000     0.000     2.000
