1	3.2	4.25	1	1	3.16666666666667	2.5	1	1	3.25	4	4.75	3.6	4.2	2	4.5	2	3.75	3.875	5	1.25	3.5	7.28571428571429	1.375	3.44444444444444	3.28571428571429	1.11111111111111	1.71428571428571	1	1	100	619	1	1	34	6	9	9	9	12	0	3	3
1.75	4.6	4.75	1	2.83333333333333	3.5	1.5	1.11111111111111	1	5	4.75	3.5	4.8	4.4	3.75	5	2.375	4	5	4.14285714285714	4.5	5	7.42857142857143	1.125	2.66666666666667	3.14285714285714	1	2.28571428571429	2	2	100	11055	1	1	59	4	9	9	9	7	1	4	3
1	3.2	3.75	1	1.33333333333333	2.16666666666667	2.75	1	1	3	4.75	3.75	3	5	3	4.5	1.375	2.25	4.375	4	2.5	4.25	9.14285714285714	1.5	2.33333333333333	3.57142857142857	1.55555555555556	2.57142857142857	3	.	100	7148	1	2	58	4	10	2	1	5	0	4	3
3.5	3.8	4	1.33333333333333	3.5	2.66666666666667	2.25	1.55555555555556	2	3.5	4.5	4.25	4	3.6	2	3.83333333333333	3	2	3.75	3.14285714285714	3.75	4.75	8.14285714285714	2	3.22222222222222	3.14285714285714	2.77777777777778	2.28571428571429	4	4	100	1642	1	1	23	4	1	1	0.5	3	0	3	4
1	3.4	4.5	1	1.16666666666667	1.66666666666667	1	1	1	3.5	4	3.75	4	3.8	1	4.5	1.125	1	3.125	2.28571428571429	1.5	4.5	8.14285714285714	1	1.66666666666667	1.28571428571429	1	2.71428571428571	5	5	100	8063	1	2	35	4	10	2	5	3	0	5	5
1.75	3.2	4.75	1	2.16666666666667	3.16666666666667	2.75	1	1	3.5	4	2.75	2.6	3	1.75	4.16666666666667	1	1.75	4	4.85714285714286	4	5	7	2.375	3	2.42857142857143	1.33333333333333	2.71428571428571	6	6	100	5874	1	1	32	4	8	8	4	7	0	4	4
2	2.4	4.25	1	1.66666666666667	2.33333333333333	2.5	2.22222222222222	2	2.5	4	4	3.6	3.6	2.25	4	1.875	2	3	2.71428571428571	2.5	3.75	7.28571428571429	1.375	2.22222222222222	2.28571428571429	1.11111111111111	2.42857142857143	7	7	100	3156	1	2	42	4	6	2	6	5	1	4	4
2	2.4	4.25	1	1.66666666666667	2.33333333333333	2.5	2.22222222222222	2	2.5	4	4	3.6	3.6	2.25	4	1.875	2	3	2.71428571428571	2.5	3.75	7.42857142857143	1.375	2.22222222222222	2.28571428571429	1.11111111111111	2.42857142857143	8	8	100	465	1	2	35	4	6	4	3	3	0	4	4
2	2.4	4.25	1	1.66666666666667	2.33333333333333	2.5	2.22222222222222	2	2.5	4	4	3.6	3.6	2.25	4	1.875	2	3	2.71428571428571	2.5	3.75	7	1.375	2.22222222222222	2.28571428571429	1.11111111111111	2.42857142857143	9	9	100	327	1	1	34	4	7	2	2	8	0	4	4
2.75	2.6	3.5	1	1.5	2.33333333333333	2.5	1.77777777777778	2	3	4	4.25	3.6	3.6	2.25	4	2	2	3	2.71428571428571	2.5	4	7.28571428571429	1.375	2.22222222222222	2.28571428571429	1.11111111111111	2.42857142857143	10	10	100	1149	1	2	55	5	22	4	7	4	0	4	4
2	2.4	4.25	1	1.66666666666667	2.33333333333333	2.5	2.22222222222222	2	2.5	4	4	3.6	3.6	2.25	4	2	2	3	2.71428571428571	2.5	3.75	7.28571428571429	1.375	2.22222222222222	2.28571428571429	1.11111111111111	2.42857142857143	11	11	100	378	1	2	36	4	8	2	2	6	0	4	4
1	3.6	3.5	1.66666666666667	2.16666666666667	2.33333333333333	1	2.11111111111111	2	3.5	4	3.25	3	3.2	1.5	2.83333333333333	3.5	1	4.375	3	2.5	3.75	8	1.5	2.33333333333333	2.14285714285714	1.44444444444444	1.57142857142857	12	12	100	2018	1	2	31	4	9	6	3	18	1	4	2
1.75	4	4	2	3.33333333333333	1.83333333333333	1.25	2.22222222222222	3.2	3.5	3.75	3.5	4.4	4.2	1.25	4	2.25	1.5	3.75	3.85714285714286	1.75	3.5	7.42857142857143	1.75	2.55555555555556	2.42857142857143	1.33333333333333	3.14285714285714	13	13	100	1762	1	1	50	4	4	4	4	25	1	4	3
1	2.8	4.5	1.66666666666667	2.33333333333333	1.33333333333333	1	2.88888888888889	2.2	3.25	3	5	4.6	3.2	2	3.66666666666667	1.625	1.25	3.375	3.28571428571429	3.25	3.75	8.42857142857143	2.625	3.22222222222222	3	1.77777777777778	1.85714285714286	14	14	100	97797	1	1	35	6	6	5	2	19	0	5	5
2	4.6	5	1	2.16666666666667	2	2.75	1.66666666666667	1	4	4.75	4.75	4.4	5	2.75	4.33333333333333	2.625	1.5	3.75	4.42857142857143	2.75	4.25	8.14285714285714	1.125	3.11111111111111	3.28571428571429	1.33333333333333	2.57142857142857	15	15	100	1128229	1	1	50	5	15	3	3	30	1	5	5
2.5	4	4	3	4	3.16666666666667	3.75	1.33333333333333	2.2	3.25	3.75	3.75	4	3.4	3.75	3.66666666666667	3.625	4	3.125	2.57142857142857	4.5	3.75	7	1.875	3.11111111111111	3.57142857142857	2	2.14285714285714	16	16	100	1322	1	1	29	4	8	8	4	16	0	5	3
1.25	3	4.25	1	2	1.83333333333333	1.5	1.22222222222222	1.4	2	4	3.25	3.2	3.8	2.25	3.83333333333333	1.875	2.25	3.5	4.42857142857143	3.25	3.25	7.57142857142857	1.625	2.66666666666667	2.57142857142857	1.55555555555556	2.57142857142857	17	17	100	3137	1	1	44	4	1	1	1	22	0	4	4
1	2	2.25	1	2.5	1.16666666666667	1	3.55555555555556	1.8	1.5	2.5	1.25	2	2.2	1	3.33333333333333	1	1	4	3.57142857142857	1.25	3	9.14285714285714	2.25	2.55555555555556	2.57142857142857	2	2.57142857142857	18	18	100	950	1	1	58	4	24	24	24	7	0	2	2
1	3.2	3.5	1.33333333333333	3.16666666666667	4	1.25	1	1	3.5	3.75	4	2.8	4	1	4.66666666666667	1.875	1.25	3.75	5	2	4	8.85714285714286	1.375	3	3.42857142857143	1.88888888888889	2.57142857142857	19	19	100	1348	1	1	32	4	10	10	5	7	0	4	4
1.25	4.4	4	3	2	3.5	1	3	2	3.75	4.25	3.75	3.4	4	2.5	3.5	2	1.25	3.625	3.42857142857143	2.25	4.25	7.57142857142857	1.75	2	2.85714285714286	1.44444444444444	2.42857142857143	20	20	100	2161	1	2	25	4	2.5	2.5	0.5	10	0	5	5
1	2	3.75	1	2.16666666666667	1.33333333333333	1	2	2	1.5	3	3.25	1.6	2.6	1	3.5	3.25	1	2.75	3.14285714285714	2.25	3.25	7.42857142857143	2.75	2.11111111111111	2.14285714285714	2.11111111111111	2.85714285714286	21	21	100	1882	1	2	42	5	4	4	4	4	1	3	3
2	2.6	4	1	2.66666666666667	1.83333333333333	2.75	1	1	2.25	3	3.75	2.6	3.2	2.25	4.33333333333333	1.25	2.25	2.875	4	2.75	3.25	8	2.125	2.33333333333333	2	1.55555555555556	2.85714285714286	22	22	100	1361	1	2	65	4	15	15	15	15	0	5	3
2.5	3	3.75	1.66666666666667	3.5	2.33333333333333	1.75	3.55555555555556	2	2.75	3.5	2.75	2.8	3.2	2.25	3.5	3.375	1.25	3.375	3.14285714285714	3	3.25	7	1.875	2.33333333333333	2.14285714285714	1.88888888888889	3	23	23	100	1653	1	2	39	4	3	3	2	4	0	4	4
2.25	3.4	3.75	1	1.66666666666667	3.33333333333333	3.5	2.11111111111111	2.6	3	3.5	3.25	3.6	4	3.25	3.5	1.125	3.75	3.375	3.42857142857143	3.5	4.25	8.14285714285714	2.875	3.44444444444444	3.42857142857143	2	2.14285714285714	24	.	100	1056	1	1	31	6	6	4	4	5	0	3	3
3	2.6	3	1	1.16666666666667	4	3	1.22222222222222	1	3.75	4	3	3.8	4.6	3	4.33333333333333	1.5	3.25	3.875	5	2.75	4	8.71428571428571	2	2.11111111111111	2.57142857142857	1.88888888888889	2.14285714285714	25	.	100	1637	1	1	31	3	1	1	1	5	1	2	2
1	4.2	4.5	2.66666666666667	1.16666666666667	2.33333333333333	1.5	1.33333333333333	2.4	3.25	3.75	2.25	4.4	3.8	3	4	1.875	3.75	4.125	3.28571428571429	1.25	3.75	8.14285714285714	1.75	1.11111111111111	1.85714285714286	1.11111111111111	3	26	26	100	900	1	2	24	6	2	1	1	5	1	4	2
1	4	3.5	1	1	2.33333333333333	1.5	1.55555555555556	1.2	2.5	4.25	2.5	3.6	4.2	1.75	3.66666666666667	1.875	1.25	3.375	4.71428571428571	3.75	4.75	6.85714285714286	1.25	1.77777777777778	1.42857142857143	1	2.71428571428571	27	27	100	1778	1	1	59	4	35	3.5	25	3	0	5	5
1	2.8	3.75	3	4	1.16666666666667	2.75	2.33333333333333	1	2	3	3.25	2.8	2.8	1.75	3.33333333333333	2.75	1.75	3.75	3	2	4	6.85714285714286	2	2.77777777777778	3	1.88888888888889	3.28571428571429	28	28	100	732	1	2	42	5	5	1	1	6	2	1	2
1.25	3.4	4.25	2	2.5	2.16666666666667	2	2.55555555555556	1.8	3	4.5	4.75	3.6	3.4	2.75	3.5	2.25	2.25	3.375	5	2.75	4.25	8.57142857142857	2.25	3.33333333333333	3.42857142857143	2.22222222222222	2.42857142857143	29	29	100	879	1	2	38	4	2.5	2.5	0.5	23	1	5	4
1	3.2	4.75	1	1.33333333333333	2	1	1	1	2.25	3.5	3	3.2	4	1	4.83333333333333	1	1	4.625	5	3.5	4.5	9	1.5	2.77777777777778	1.71428571428571	1.33333333333333	2.71428571428571	30	30	100	1958	1	2	54	4	18	18	18	3	0	5	5
1.75	3	3.25	1.66666666666667	2.83333333333333	3.16666666666667	3	2.22222222222222	2	2.75	3.5	3	2.8	3.4	2	2.33333333333333	3	1.25	3.125	2.14285714285714	3.75	4	7.57142857142857	2.125	2.66666666666667	2.71428571428571	1.44444444444444	2.57142857142857	31	31	100	2354987	1	2	31	5	3.5	1	3.5	8	0	2	2
1.5	3.2	4	1	1.16666666666667	1.33333333333333	1.25	1.11111111111111	1	2.5	3.25	3.25	3.6	4.8	1.25	3.83333333333333	2.25	1.75	4	3.57142857142857	2.25	3.25	8.42857142857143	1	2.22222222222222	2.57142857142857	1	2.42857142857143	32	32	100	1305	1	1	58	4	32	6	6	16	1	4	3
1.25	3.2	3.75	1	1.16666666666667	1.66666666666667	1.25	1	1	3.5	3.75	3.25	3.6	4.4	2.5	4.5	1.625	1.5	3.625	3.14285714285714	2.25	3	8.14285714285714	1.375	1.66666666666667	1.71428571428571	1	2.28571428571429	33	33	100	1330	1	1	62	5	42	9	9	10	1	4	3
1.5	3.4	3.75	1.33333333333333	2.83333333333333	1.66666666666667	1.75	2.44444444444444	1	3.75	3.75	2.25	3.2	3.6	2.5	4.16666666666667	2.875	1.25	3.75	4.42857142857143	4.75	3.75	7.57142857142857	1.875	1.55555555555556	1.42857142857143	1.11111111111111	1.57142857142857	34	34	100	991	1	1	33	4	18	4	5	70	0	5	3
1.25	3.4	3.75	1	2.33333333333333	2	2.75	3.33333333333333	3.4	2.75	3.75	4.5	3.8	4.2	1.5	4	2.75	3	3.875	3.28571428571429	3	3.5	8	2.25	2.22222222222222	2.85714285714286	2	2.57142857142857	35	35	100	999	1	2	45	6	21	3	8	13	1	5	5
1	4	4.25	1	3	2.5	3	1.77777777777778	2.2	3.75	4.5	2.75	3.6	3.8	3.5	4.16666666666667	2.375	1.75	2.75	3.85714285714286	3.25	4	6.57142857142857	2.625	3	3	1.88888888888889	2.57142857142857	36	36	100	76071	1	2	32	6	6.5	2	2	9	0	5	4
1	3.6	3.75	1	2.83333333333333	2.83333333333333	1	2	2	3.5	3.75	3.75	4	3.8	1	3.83333333333333	2.125	1.5	3.5	3.57142857142857	2	3.75	8.28571428571429	2	1.88888888888889	1.85714285714286	1.22222222222222	2.14285714285714	37	37	100	1346	1	1	59	3	15	1	1	30	2	3	3
2.75	3.2	4	1.66666666666667	4.33333333333333	2.66666666666667	3.5	2	3.4	4	4.75	3.75	3.4	3.6	2.75	3.66666666666667	1.75	3.5	3.25	3.85714285714286	3.75	4.5	6	2.25	3	3.71428571428571	2.22222222222222	2.71428571428571	38	38	100	1806	1	2	28	4	1	1	1	2	0	4	4
1	3.4	3.75	1.33333333333333	3.5	2.66666666666667	2	1.11111111111111	1	4	4	4	3.2	3.6	1.75	3.83333333333333	1.375	2	2.75	5	3.75	3.75	6	2.125	2.66666666666667	3	1.88888888888889	2.85714285714286	39	39	100	982	1	1	36	4	1	1	1	20	0	4	4
4.25	4	4	1.66666666666667	4.66666666666667	3.66666666666667	3	1.55555555555556	2	4	3.5	4	4.2	3.8	4	3.66666666666667	2.5	3.75	3.75	4.28571428571429	4.5	3.5	6.71428571428571	3.5	3.44444444444444	3.42857142857143	2.88888888888889	2.14285714285714	40	40	100	507832	1	1	25	4	1	1	1	50	1	4	5
1	3.8	4.5	2	3	2.83333333333333	1.75	2	2.2	3.75	3.75	3.75	4.8	3.6	1	4.16666666666667	3.375	2.25	4.25	3.28571428571429	3.25	4.5	8.28571428571429	2.25	2.33333333333333	2.28571428571429	1.77777777777778	3.14285714285714	41	41	100	931	1	1	34	4	7	3	3	15	0	4	4
